Periodo,Índice al por mayor,Índice al por menor,Variación anual al por mayor,Variación anual al por menor
2008/01,77.9,59.9,0,0
2008/02,75.8,57.1,0,0
2008/03,77.3,59.8,0,0
2008/04,85.1,59.6,0,0
2008/05,84.4,62.5,0,0
2008/06,83.3,62.7,0,0
2008/07,84.9,62.9,0,0
2008/08,80.6,62.8,0,0
2008/09,80.9,59.3,0,0
2008/10,81.5,60.6,0,0
2008/11,74.2,60.8,0,0
2008/12,78.1,76.8,0,0
2009/01,73.6,59.6,-5.5,-0.5
2009/02,73.4,53.6,-3.2,-6.2
2009/03,75.8,58.4,-2,-2.3
2009/04,75.1,56.7,-11.7,-4.8
2009/05,74.7,61.5,-11.4,-1.6
2009/06,76.4,59.8,-8.2,-4.6
2009/07,77,59.8,-9.3,-5
2009/08,74.9,59.8,-7,-4.7
2009/09,71.8,56.1,-11.3,-5.3
2009/10,73.8,58.7,-9.4,-3.2
2009/11,74.3,59.5,0.1,-2.1
2009/12,72.7,74,-6.8,-3.6
2010/01,70.6,58.4,-4.1,-2
2010/02,72.4,55.2,-1.4,3
2010/03,79,60.2,4.2,3.2
2010/04,79.1,56.9,5.4,0.3
2010/05,78,62.3,4.3,1.4
2010/06,79.9,61.3,4.6,2.4
2010/07,78.2,61.3,1.6,2.5
2010/08,77.4,62.9,3.4,5.1
2010/09,77.5,59.1,7.9,5.4
2010/10,78.2,61.5,5.9,4.8
2010/11,78.5,62.9,5.7,5.7
2010/12,82.2,82.2,13,11
2011/01,71.6,66.7,1.5,14.2
2011/02,71.5,58.4,-1.1,5.8
2011/03,80,63.8,1.2,5.9
2011/04,76.5,63.8,-3.4,12.2
2011/05,78,67.3,0.1,7.9
2011/06,80.7,66.3,0.9,8.3
2011/07,78.4,66.2,0.2,7.9
2011/08,81.5,66.9,5.4,6.4
2011/09,80.1,66.8,3.4,12.9
2011/10,84.5,68.1,8.1,10.7
2011/11,84.2,70.4,7.2,11.9
2011/12,84.6,85.5,2.9,4.1
2012/01,79.8,67.7,11.4,1.4
2012/02,77.6,63.8,8.4,9.2
2012/03,82.5,68.4,3.1,7.3
2012/04,76.6,66.4,0.1,3.9
2012/05,87.1,71.8,11.6,6.7
2012/06,86.9,70.9,7.7,6.9
2012/07,85.4,70.3,8.9,6.3
2012/08,87.2,71.5,7,7
2012/09,81.3,69.1,1.6,3.5
2012/10,85.6,76.1,1.3,11.7
2012/11,84.2,79.9,0,13.5
2012/12,80.9,93.7,-4.4,9.5
2013/01,81.5,77,2.1,13.8
2013/02,78.1,68.7,0.7,7.8
2013/03,79.4,75.1,-3.7,9.9
2013/04,83.3,73.7,8.8,11
2013/05,85.3,79.7,-2.1,11
2013/06,80.8,78.5,-7,10.7
2013/07,81.3,79.2,-4.8,12.6
2013/08,85.1,80.2,-2.4,12.1
2013/09,81,74.7,-0.5,8
2013/10,89.1,79.9,4.2,5
2013/11,91.3,84.2,8.4,5.5
2013/12,90.4,96.2,11.7,2.7
2014/01,85.8,75,5.2,-2.6
2014/02,82.5,67.9,5.5,-1.2
2014/03,85.8,72.7,8.1,-3.2
2014/04,85.4,72.4,2.5,-1.7
2014/05,89.8,78.7,5.3,-1.3
2014/06,83.6,77.2,3.5,-1.7
2014/07,88.2,78.3,8.5,-1.1
2014/08,88.1,82,3.5,2.3
2014/09,87.8,77.2,8.5,3.3
2014/10,92.5,82.3,3.8,3
2014/11,92,88.6,0.8,5.1
2014/12,97.3,103.9,7.7,8
2015/01,87.7,85,2.2,13.3
2015/02,87.6,76.9,6.3,13.3
2015/03,93.6,82.7,9.1,13.7
2015/04,90.5,80.7,5.9,11.5
2015/05,96,86.7,6.9,10.1
2015/06,93.9,86.5,12.3,12.1
2015/07,95,87.8,7.7,12.1
2015/08,96.5,89.9,9.6,9.6
2015/09,88.2,86,0.5,11.4
2015/10,94.9,89.4,2.6,8.6
2015/11,94.8,95.1,3,7.4
2015/12,103.6,110.8,6.5,6.6
2016/01,94,90,7.1,5.9
2016/02,94.9,83.5,8.3,8.6
2016/03,98.9,94.3,5.7,14.1
2016/04,96.2,94,6.4,16.4
2016/05,102.2,97.5,6.4,12.4
2016/06,100.3,99.3,6.9,14.8
2016/07,98.2,102.2,3.4,16.4
2016/08,102.6,99.9,6.3,11.1
2016/09,96.9,100.3,9.8,16.6
