Periodo,Índice al por mayor,Índice al por menor,Variación anual al por mayor,Variación anual al por menor
2008/01,94.1,101.3,0,0
2008/02,93.4,102.1,0,0
2008/03,93.1,101,0,0
2008/04,92.9,100.2,0,0
2008/05,92.4,100,0,0
2008/06,92.7,99.1,0,0
2008/07,92.3,98.7,0,0
2008/08,92.1,99.1,0,0
2008/09,92.9,99.8,0,0
2008/10,92.8,101.4,0,0
2008/11,93.3,101.9,0,0
2008/12,93.3,101.2,0,0
2009/01,90,100.5,-4.4,-0.8
2009/02,84.4,96.6,-9.7,-5.4
2009/03,85.5,97.1,-8.1,-3.9
2009/04,94.9,97,2.1,-3.2
2009/05,96.7,104.9,4.7,5
2009/06,87.9,96.1,-5.1,-3
2009/07,94.4,96.4,2.2,-2.3
2009/08,90.6,96,-1.6,-3.1
2009/09,86.7,94.6,-6.6,-5.2
2009/10,92.1,98.8,-0.7,-2.6
2009/11,89.6,96.3,-4,-5.6
2009/12,108.3,124.3,16.1,22.8
2010/01,85.5,97.7,-4.9,-2.8
2010/02,84.2,95.3,-0.2,-1.3
2010/03,89.1,98.9,4.1,1.9
2010/04,91.9,99.1,-3.2,2.2
2010/05,103.2,106.4,6.7,1.3
2010/06,90.3,97.1,2.7,1
2010/07,91.3,98.4,-3.2,2.1
2010/08,89.2,97.1,-1.6,1.1
2010/09,87.8,94.3,1.2,-0.3
2010/10,89.3,97.3,-3.1,-1.5
2010/11,86.7,95.8,-3.2,-0.5
2010/12,107.4,125,-0.8,0.6
2011/01,83.3,95.2,-2.5,-2.5
2011/02,83.9,90.6,-0.3,-4.9
2011/03,84.8,93.9,-4.8,-5
2011/04,88.6,92.3,-3.6,-6.9
2011/05,105.7,101.1,2.4,-5
2011/06,93.1,93.3,3.1,-3.9
2011/07,91.1,92.2,-0.2,-6.3
2011/08,93.4,90.2,4.7,-7.1
2011/09,91.1,90.7,3.7,-3.9
2011/10,96.5,88.1,8,-9.5
2011/11,92.6,87.4,6.7,-8.8
2011/12,105.4,118.1,-1.9,-5.6
2012/01,86.7,89.2,4,-6.3
2012/02,90.5,88.5,7.8,-2.3
2012/03,93.6,93.8,10.5,-0.1
2012/04,96.8,89.7,9.2,-2.8
2012/05,109.4,100.9,3.5,-0.2
2012/06,95.8,93.1,2.9,-0.2
2012/07,96.3,89.5,5.7,-3
2012/08,98.5,95.2,5.4,5.5
2012/09,96.1,89.9,5.5,-0.9
2012/10,94.1,91.3,-2.4,3.6
2012/11,96.1,92.6,3.9,6
2012/12,112.2,119.8,6.5,1.4
2013/01,91.8,92.8,5.9,4
2013/02,88.8,87.8,-1.8,-0.8
2013/03,88.4,86.3,-5.6,-8
2013/04,97.8,88.3,1,-1.5
2013/05,102.2,99.5,-6.5,-1.4
2013/06,95.2,90.1,-0.6,-3.3
2013/07,94,87,-2.5,-2.7
2013/08,100.9,92.2,2.4,-3.2
2013/09,92.4,87.1,-3.8,-3
2013/10,94.9,87.9,0.8,-3.7
2013/11,91.9,88.5,-4.4,-4.4
2013/12,111.7,110.6,-0.4,-7.7
2014/01,89.6,89.8,-2.4,-3.3
2014/02,88.3,85.6,-0.6,-2.5
2014/03,88.9,86.8,0.6,0.6
2014/04,94.6,85.8,-3.2,-2.9
2014/05,109.6,100,7.2,0.5
2014/06,92.8,89.9,-2.6,-0.1
2014/07,97.9,89.1,4.2,2.4
2014/08,93,92.2,-7.8,0
2014/09,92,89.1,-0.5,2.2
2014/10,95.2,90.4,0.3,2.9
2014/11,89.5,90,-2.6,1.6
2014/12,110.8,114.5,-0.8,3.6
2015/01,91,95.5,1.5,6.3
2015/02,88.4,91.5,0,6.9
2015/03,90.7,92,2,6
2015/04,95.2,94.2,0.7,9.9
2015/05,114.3,102.7,4.3,2.7
2015/06,94.3,96,1.6,6.8
2015/07,99.4,96,1.5,7.8
2015/08,95.9,97.9,3.2,6.2
2015/09,95.6,95.7,3.9,7.5
2015/10,98.5,99.4,3.4,10
2015/11,98,96.7,9.5,7.5
2015/12,120.3,121.4,8.5,6
2016/01,94.8,98.7,4.2,3.3
2016/02,91.3,96.9,3.3,5.9
2016/03,99.2,103.9,9.5,13
2016/04,102.1,103.1,7.2,9.5
2016/05,125.1,115.7,9.4,12.7
2016/06,104.8,102.1,11.2,6.3
2016/07,105.6,102.1,6.2,6.3
2016/08,106.7,97.4,11.2,-0.5
2016/09,106.2,99,11.1,3.4
