Periodo,Índice al por mayor,Índice al por menor,Variación anual al por mayor,Variación anual al por menor
2008/01,75.3,66.7,0,0
2008/02,75.8,66.3,0,0
2008/03,76.2,67.6,0,0
2008/04,76.3,68.5,0,0
2008/05,76.9,68.7,0,0
2008/06,76.8,69.5,0,0
2008/07,77,69.9,0,0
2008/08,77.2,69.6,0,0
2008/09,77.2,69.1,0,0
2008/10,77.3,68,0,0
2008/11,76.6,67.7,0,0
2008/12,76.5,68.3,0,0
2009/01,77.6,67.4,3.1,1.1
2009/02,76.7,66.4,1.1,0.1
2009/03,77.3,67.1,1.5,-0.8
2009/04,77.3,67.7,1.4,-1.2
2009/05,77.2,66.8,0.3,-2.8
2009/06,77.4,67.1,0.9,-3.4
2009/07,77.3,67.7,0.5,-3.1
2009/08,77.1,67.3,-0.2,-3.3
2009/09,77.2,66.8,0,-3.3
2009/10,76.9,67,-0.5,-1.4
2009/11,76.9,67.6,0.3,-0.1
2009/12,76.3,67.1,-0.2,-1.7
2010/01,79.8,67.3,2.9,-0.2
2010/02,79.2,67.9,3.3,2.2
2010/03,80,68.6,3.4,2.2
2010/04,79.2,68.5,2.4,1.1
2010/05,80.1,68.5,3.8,2.7
2010/06,80.4,68.7,3.9,2.4
2010/07,80.8,69.5,4.4,2.6
2010/08,80.4,69.3,4.4,3
2010/09,80.8,69.3,4.7,3.7
2010/10,80.9,69.4,5.2,3.5
2010/11,80.5,69.8,4.7,3.3
2010/12,81.2,69.9,6.4,4.2
2011/01,81.6,69.6,2.2,3.5
2011/02,81.4,72,2.9,6.2
2011/03,81.8,73.1,2.3,6.7
2011/04,82,72.7,3.5,6.1
2011/05,81.5,74.2,1.7,8.3
2011/06,82.8,74.7,2.9,8.7
2011/07,83.1,74.5,2.9,7.2
2011/08,82.6,74.8,2.7,7.9
2011/09,84.1,74.3,4.1,7.1
2011/10,85.2,74.2,5.3,6.9
2011/11,85.2,74.8,5.9,7.1
2011/12,85.1,75,4.8,7.2
2012/01,85.1,73.7,4.3,5.8
2012/02,84.9,73.9,4.3,2.7
2012/03,85.1,74.1,4,1.3
2012/04,85.2,74,3.9,1.8
2012/05,85.8,73.8,5.3,-0.6
2012/06,86.3,73.2,4.2,-2
2012/07,85.9,74.5,3.3,0.1
2012/08,86.4,74.8,4.5,0.1
2012/09,86.7,74.7,3.1,0.6
2012/10,86.5,75.8,1.6,2.2
2012/11,86.4,76.2,1.3,1.9
2012/12,86.3,77,1.4,2.7
2013/01,87.7,79.2,3.1,7.6
2013/02,88.2,79.3,3.8,7.2
