Año/Mes,Total nacional,Estado Chihuahua,Juárez,Otros municipios,Extra
2007/07,"14,991,631","2,137,743","379,131","1,585,290","173,322"
2007/08,"16,142,819","2,491,537","377,627","1,918,415","195,495"
2007/09,"15,620,080","2,447,422","374,662","1,885,523","187,237"
2007/10,"16,076,065","2,415,384","387,384","1,839,383","188,617"
2007/11,"15,851,785","2,385,933","373,834","1,823,168","188,931"
2007/12,"18,102,270","2,517,233","485,137","1,830,987","201,109"
ACUMULADO 2007,"96,784,650","14,395,252","2,377,775","10,882,766","1,134,711"
2008/01,"15,485,139","2,416,209","383,567","1,838,336","194,306"
2008/02,"15,423,025","2,353,874","369,500","1,789,041","195,333"
2008/03,"16,109,037","2,519,574","418,705","1,907,849","193,020"
2008/04,"16,297,264","2,472,448","397,094","1,880,238","195,116"
2008/05,"16,296,691","2,398,897","392,092","1,813,952","192,853"
2008/06,"16,255,828","2,456,927","386,441","1,871,927","198,559"
2008/07,"16,032,377","2,316,020","387,345","1,738,766","189,909"
2008/08,"15,825,620","2,269,606","374,197","1,707,513","187,896"
2008/09,"15,696,070","2,322,482","394,785","1,733,015","194,682"
2008/10,"16,483,069","2,380,167","403,493","1,778,048","198,626"
2008/11,"15,369,912","2,201,325","384,003","1,640,577","176,745"
2008/12,"17,706,246","2,269,345","431,947","1,642,154","195,244"
ACUMULADO 2008,"192,980,278","28,376,874","4,723,169","21,341,416","2,312,289"
2009/01,"14,693,224","2,108,533","418,219","1,529,948","160,366"
2009/02,"14,073,663","1,932,990","325,533","1,447,029","160,428"
2009/03,"14,421,376","2,068,558","343,760","1,555,676","169,122"
2009/04,"14,423,753","2,032,422","340,237","1,526,644","165,541"
2009/05,"13,865,513","1,950,292","334,249","1,462,483","153,560"
2009/06,"13,982,051","1,963,940","335,053","1,469,468","159,419"
2009/07,"14,510,621","2,056,964","336,332","1,552,208","168,424"
2009/08,"13,948,831","1,955,061","315,784","1,477,804","161,473"
2009/09,"14,450,004","2,105,610","341,454","1,592,380","171,776"
2009/10,"15,170,699","2,191,604","351,322","1,661,012","179,270"
2009/11,"14,514,683","2,054,647","336,767","1,550,048","167,832"
2009/12,"17,882,593","2,380,377","419,237","1,765,614","195,526"
ACUMULADO 2009,"175,937,011","24,800,998","4,197,947","18,590,314","2,012,737"
2010/01,"14,860,799","2,166,938","385,810","1,645,967","135,161"
2010/02,"14,902,879","2,127,608","376,299","1,620,166","131,143"
2010/03,"16,295,078","2,454,495","436,018","1,873,003","145,474"
2010/04,"15,995,742","2,250,642","419,445","1,688,893","142,304"
2010/05,"15,935,583","2,322,034","433,716","1,749,563","138,755"
2010/06,"16,259,027","2,399,071","448,702","1,796,940","153,429"
2010/07,"16,397,058","2,305,927","439,274","1,714,650","152,003"
2010/08,"16,089,851","2,261,845","440,453","1,679,153","142,239"
2010/09,"17,034,763","2,479,738","460,680","1,860,863","158,195"
2010/10,"16,653,769","2,286,392","460,835","1,681,003","144,554"
2010/11,"16,461,011","2,229,762","446,018","1,642,200","141,544"
2010/12,"19,878,546","2,452,684","505,612","1,769,491","177,581"
ACUMULADO 2010,"196,764,106","27,737,136","5,252,862","20,721,892","1,762,382"
2011/01,"16,172,371","2,218,199","436,241","1,649,448","132,510"
2011/02,"16,321,391","2,213,653","425,087","1,650,150","138,416"
2011/03,"17,854,152","2,510,705","474,137","1,879,893","156,675"
2011/04,"16,877,194","2,303,711","469,987","1,691,192","142,532"
2011/05,"16,994,165","2,327,390","441,302","1,745,140","140,948"
2011/06,"17,746,822","2,464,173","465,332","1,832,223","166,618"
2011/07,"17,026,481","2,265,661","461,208","1,658,005","146,448"
2011/08,"17,241,347","2,342,940","456,769","1,725,945","160,226"
2011/09,"18,042,906","2,477,022","475,090","1,831,176","170,756"
2011/10,"17,558,213","2,350,823","493,081","1,699,690","158,052"
2011/11,"17,668,771","2,344,272","457,107","1,717,177","169,988"
2011/12,"21,160,686","2,583,828","579,928","1,829,597","174,303"
ACUMULADO 2011,"210,664,499","28,402,377","5,635,269","20,909,636","1,857,472"
2012/01,"17,366,040","2,380,085","505,090","1,738,906","136,089"
2012/02,"17,854,319","2,408,231","501,915","1,755,082","151,234"
2012/03,"19,163,941","2,628,136","543,715","1,917,833","166,588"
2012/04,"18,320,403","2,485,412","548,993","1,792,576","143,843"
2012/05,"19,037,417","2,597,426","557,938","1,876,198","163,290"
2012/06,"18,839,613","2,574,897","540,634","1,874,949","159,314"
2012/07,"18,494,328","2,508,514","566,654","1,786,454","155,406"
2012/08,"19,188,888","2,585,369","547,433","1,857,229","180,707"
2012/09,"18,714,166","2,609,484","551,066","1,883,443","174,975"
2012/10,"19,001,873","2,610,022","571,031","1,865,762","173,229"
2012/11,"19,292,847","2,651,293","553,309","1,925,034","172,950"
2012/12,"22,091,955","2,788,496","626,009","1,982,751","179,736"
ACUMULADO 2012,"227,365,790","30,827,365","6,613,787","22,256,217","1,957,361"
2013/01,"19,484,858","2,635,386","589,709","1,875,473","170,204"
2013/02,"18,858,846","2,549,045","545,466","1,837,415","166,164"
2013/03,"20,009,341","2,793,169","589,998","2,014,357","188,814"
2013/04,"19,967,243","2,757,736","632,963","1,954,086","170,687"
2013/05,"20,800,947","2,824,010","598,275","2,033,134","192,601"
2013/06,"20,149,818","2,793,379","594,274","2,010,776","188,329"
2013/07,"20,292,564","2,697,291","611,813","1,913,191","172,287"
2013/08,"20,942,675","2,819,379","611,606","2,016,391","191,382"
2013/09,"20,473,199","2,869,178","625,156","2,054,963","189,059"
2013/10,"21,680,492","2,992,906","644,672","2,152,178","196,056"
2013/11,"20,828,207","2,899,513","606,740","2,099,601","193,172"
2013/12,"24,391,319","3,125,673","736,946","2,189,489","199,238"
ACUMULADO 2013,"247,879,509","33,756,665","7,387,618","24,151,054","2,217,993"
2014/01,"21,234,106","2,955,859","655,113","2,104,848","195,898"
2014/02,"20,756,794","2,802,569","634,742","1,978,200","189,627"
2014/03,"21,795,745","2,974,917","703,076","2,075,320","196,521"
2014/04,"22,319,107","3,010,320","692,029","2,120,246","198,045"
2014/05,"22,592,218","3,020,238","668,925","2,147,073","204,240"
2014/06,"22,201,972","3,075,909","698,453","2,174,236","203,220"
2014/07,"23,136,791","3,121,524","683,150","2,239,290","199,084"
2014/08,"22,644,395","3,015,517","650,211","2,160,591","204,715"
2014/09,"22,523,439","3,092,415","657,173","2,233,173","202,069"
2014/10,"24,257,090","3,279,672","698,189","2,369,315","212,168"
2014/11,"22,949,776","3,174,600","667,301","2,310,587","196,712"
2014/12,"27,046,114","3,461,628","804,244","2,438,521","218,863"
ACUMULADO 2014,"274,573,984","37,170,316","8,230,360","26,573,309","2,366,647"
2015/01,"23,278,775","3,193,458","669,014","2,316,230","208,214"
