Periodo,Índice al por mayor,Índice al por menor,Variación anual al por mayor,Variación anual al por menor
2008/01,70.8,67.5,0,0
2008/02,70.8,67.7,0,0
2008/03,70.9,68.3,0,0
2008/04,70.9,68.7,0,0
2008/05,71.1,68.7,0,0
2008/06,71.1,68.9,0,0
2008/07,71,68.9,0,0
2008/08,71.1,68.9,0,0
2008/09,71.7,69,0,0
2008/10,71.7,69,0,0
2008/11,71.5,69,0,0
2008/12,71.4,69.1,0,0
2009/01,69.8,67.7,-1.4,0.3
2009/02,64.7,64.1,-8.7,-5.3
2009/03,66.1,65.1,-6.7,-4.6
2009/04,73.4,65.7,3.5,-4.4
2009/05,74.7,70.1,5,2
2009/06,68.1,64.5,-4.3,-6.4
2009/07,73,65.2,2.7,-5.4
2009/08,69.8,64.6,-1.8,-6.3
2009/09,66.9,63.2,-6.7,-8.3
2009/10,70.9,66.2,-1.2,-3.9
2009/11,68.8,65.1,-3.7,-5.7
2009/12,82.7,83.4,15.8,20.7
2010/01,68.2,65.7,-2.2,-2.9
2010/02,66.7,64.7,3.1,0.9
2010/03,71.2,67.8,7.7,4.1
2010/04,72.8,67.9,-0.8,3.4
2010/05,82.7,72.9,10.7,4
2010/06,72.6,66.7,6.7,3.4
2010/07,73.7,68.4,1.1,4.8
2010/08,71.7,67.3,2.7,4.1
2010/09,71,65.4,6,3.4
2010/10,72.3,67.6,2,2
2010/11,69.8,66.9,1.4,2.8
2010/12,87.2,87.5,5.5,4.8
2011/01,68,66.3,-0.4,0.8
2011/02,68.4,65.3,2.5,0.9
2011/03,69.4,68.7,-2.6,1.3
2011/04,72.7,67.1,-0.2,-1.2
2011/05,86.2,75,4.2,2.9
2011/06,77.1,69.7,6.1,4.4
2011/07,75.7,68.7,2.7,0.5
2011/08,77.2,67.5,7.6,0.3
2011/09,76.6,67.3,8,3
2011/10,82.2,65.4,13.8,-3.2
2011/11,78.9,65.4,13.1,-2.3
2011/12,89.7,88.5,2.9,1.2
2012/01,73.8,65.7,8.5,-0.8
2012/02,76.9,65.4,12.4,0.3
2012/03,79.7,69.5,14.9,1.2
2012/04,82.4,66.3,13.4,-1.1
2012/05,93.9,74.4,9,-0.8
2012/06,82.6,68.1,7.2,-2.2
2012/07,82.7,66.7,9.2,-3
2012/08,85,71.3,10.2,5.6
2012/09,83.3,67.1,8.7,-0.3
2012/10,81.5,69.2,-0.9,5.8
2012/11,83,70.6,5.2,8
2012/12,96.9,92.2,8,4.2
2013/01,80.5,73.5,9.2,11.9
2013/02,78.3,69.6,1.9,6.3
2013/03,78.8,68.9,-1.2,-0.9
2013/04,87.2,71,5.9,7
2013/05,91.2,80,-2.8,7.4
2013/06,85.1,72.7,3,6.6
2013/07,83.8,70.3,1.3,5.4
2013/08,90.1,74.6,5.9,4.7
2013/09,82.6,70.3,-0.8,4.7
2013/10,84.4,71.6,3.6,3.4
2013/11,82.2,73,-1,3.4
2013/12,100.2,89.2,3.4,-3.2
2014/01,80.7,71.3,0.2,-3
2014/02,79.5,68.3,1.6,-1.8
2014/03,80.4,69.7,2.1,1.2
2014/04,86,68.8,-1.4,-3.1
2014/05,100.6,79.9,10.3,-0.1
2014/06,85.8,72.1,0.9,-0.8
2014/07,89.9,71.7,7.3,2
2014/08,85.2,74.4,-5.3,-0.2
2014/09,84.7,73.3,2.6,4.2
2014/10,88.1,74.8,4.5,4.5
2014/11,82.7,75.5,0.6,3.3
2014/12,102.2,96.6,2,8.2
2015/01,84.3,79.5,4.4,11.4
2015/02,82.3,76.6,3.5,12.1
2015/03,84.8,77.8,5.4,11.5
2015/04,89.5,80.1,4,16.5
2015/05,106.4,87.6,5.8,9.7
2015/06,88.8,82.9,3.5,15
2015/07,93.6,83,4,15.8
2015/08,90.6,84,6.2,12.8
2015/09,90.6,82.3,6.9,12.3
2015/10,94,84.1,6.6,12.4
2015/11,93.4,82.5,12.9,9.3
2015/12,116,104.6,13.5,8.3
2016/01,91.8,83.1,8.9,4.6
2016/02,88.2,80.5,7.2,5.1
2016/03,96.6,87.7,14,12.7
2016/04,99.4,88.4,11.1,10.4
2016/05,122.4,99.5,15.1,13.6
2016/06,102.7,89.6,15.6,8
2016/07,104.5,92.8,11.7,11.8
2016/08,106.8,89.4,17.9,6.4
2016/09,106.4,91.3,17.4,11.1
2016/10,102.4,90.6,9,7.7
2016/11,100.6,90.9,7.7,10.2
2016/12,136.5,119.6,17.7,14.3
2017/01,100.2,90.6,9.2,9
2017/02,98.8,87.1,12,8.2
2017/03,104.6,91.9,8.3,4.8
2017/04,112.3,92.6,13,4.7
2017/05,134.7,101.4,10,1.9
